578, "🐆", "leopard"
579, "🐴", "horse face"
580, "🫎", "moose"
581, "🫏", "donkey"
582, "🐎", "horse"
583, "🦄", "unicorn"
584, "🦓", "zebra"
585, "🦌", "deer"
586, "🦬", "bison"
587, "🐮", "cow face"
588, "🐂", "ox"
589, "🐃", "water buffalo"
590, "🐄", "cow"
591, "🐷", "pig face"
592, "🐖", "pig"
593, "🐗", "boar"
594, "🐽", "pig nose"
595, "🐏", "ram"
596, "🐑", "ewe"
597, "🐐", "goat"
598, "🐪", "camel"
599, "🐫", "two-hump camel"
600, "🦙", "llama"
601, "🦒", "giraffe"
602, "🐘", "elephant"
603, "🦣", "mammoth"
604, "🦏", "rhinoceros"
605, "🦛", "hippopotamus"
606, "🐭", "mouse face"
607, "🐁", "mouse"
608, "🐀", "rat"
609, "🐹", "hamster"
610, "🐰", "rabbit face"
611, "🐇", "rabbit"
612, "🐿", "chipmunk"
613, "🦫", "beaver"
614, "🦔", "hedgehog"
615, "🦇", "bat"
616, "🐻", "bear"
617, "🐻‍❄️", "polar bear"
618, "🐨", "koala"
619, "🐼", "panda"
620, "🦥", "sloth"
621, "🦦", "otter"
622, "🦨", "skunk"
623, "🦘", "kangaroo"
624, "🦡", "badger"
625, "🐾", "paw prints"
626, "🦃", "turkey"
627, "🐔", "chicken"
628, "🐓", "rooster"
629, "🐣", "hatching chick"
630, "🐤", "baby chick"
631, "🐥", "front-facing baby chick"
632, "🐦", "bird"
633, "🐧", "penguin"
634, "🕊", "dove"
635, "🦅", "eagle"
636, "🦆", "duck"
637, "🦢", "swan"
638, "🦉", "owl"
639, "🦤", "dodo"
640, "🪶", "feather"
641, "🦩", "flamingo"
642, "🦚", "peacock"
643, "🦜", "parrot"
644, "🪽", "wing"
645, "🐦‍⬛", "black bird"
646, "🪿", "goose"
647, "🐦‍🔥", "phoenix"
648, "🐸", "frog"
649, "🐊", "crocodile"
650, "🐢", "turtle"
651, "🦎", "lizard"
652, "🐍", "snake"
653, "🐲", "dragon face"
654, "🐉", "dragon"
655, "🦕", "sauropod"
656, "🦖", "T-Rex"
657, "🐳", "spouting whale"
658, "🐋", "whale"
659, "🐬", "dolphin"
660, "🦭", "seal"
661, "🐟", "fish"
662, "🐠", "tropical fish"
663, "🐡", "blowfish"
664, "🦈", "shark"
665, "🐙", "octopus"
666, "🐚", "spiral shell"
667, "🪸", "coral"
668, "🪼", "jellyfish"
669, "🦀", "crab"
670, "🦞", "lobster"
671, "🦐", "shrimp"
672, "🦑", "squid"
673, "🦪", "oyster"
674, "🐌", "snail"
675, "🦋", "butterfly"
676, "🐛", "bug"
677, "🐜", "ant"
678, "🐝", "honeybee"
679, "🪲", "beetle"
680, "🐞", "lady beetle"
681, "🦗", "cricket"
682, "🪳", "cockroach"
683, "🕷", "spider"
684, "🕸", "spider web"
685, "🦂", "scorpion"
686, "🦟", "mosquito"
687, "🪰", "fly"
688, "🪱", "worm"
689, "🦠", "microbe"
690, "💐", "bouquet"
691, "🌸", "cherry blossom"
692, "💮", "white flower"
693, "🪷", "lotus"
694, "🏵", "rosette"
695, "🌹", "rose"
696, "🥀", "wilted flower"
697, "🌺", "hibiscus"
698, "🌻", "sunflower"
699, "🌼", "blossom"
700, "🌷", "tulip"
701, "🪻", "hyacinth"
702, "🌱", "seedling"
703, "🪴", "potted plant"
704, "🌲", "evergreen tree"
705, "🌳", "deciduous tree"
706, "🌴", "palm tree"
707, "🌵", "cactus"
708, "🌾", "sheaf of rice"
709, "🌿", "herb"
710, "☘", "shamrock"
711, "🍀", "four leaf clover"
712, "🍁", "maple leaf"
713, "🍂", "fallen leaf"
714, "🍃", "leaf fluttering in wind"
715, "🪹", "empty nest"
716, "🪺", "nest with eggs"
717, "🍄", "mushroom"
718, "🪾", "leafless tree"
719, "🍇", "grapes"
720, "🍈", "melon"
721, "🍉", "watermelon"
722, "🍊", "tangerine"
723, "🍋", "lemon"
724, "🍋‍🟩", "lime"
725, "🍌", "banana"
726, "🍍", "pineapple"
727, "🥭", "mango"
728, "🍎", "red apple"
729, "🍏", "green apple"
730, "🍐", "pear"
731, "🍑", "peach"
732, "🍒", "cherries"
733, "🍓", "strawberry"
734, "🫐", "blueberries"
735, "🥝", "kiwi fruit"
736, "🍅", "tomato"
737, "🫒", "olive"
738, "🥥", "coconut"
739, "🥑", "avocado"
740, "🍆", "eggplant"
741, "🥔", "potato"
742, "🥕", "carrot"
743, "🌽", "ear of corn"
744, "🌶", "hot pepper"
745, "🫑", "bell pepper"
746, "🥒", "cucumber"
747, "🥬", "leafy green"
748, "🥦", "broccoli"
749, "🧄", "garlic"
750, "🧅", "onion"
751, "🥜", "peanuts"
752, "🫘", "beans"
753, "🌰", "chestnut"
754, "🫚", "ginger root"
755, "🫛", "pea pod"
756, "🍄‍🟫", "brown mushroom"
757, "🫜", "root vegetable"
758, "🍞", "bread"
759, "🥐", "croissant"
760, "🥖", "baguette bread"
761, "🫓", "flatbread"
762, "🥨", "pretzel"
763, "🥯", "bagel"
764, "🥞", "pancakes"
765, "🧇", "waffle"
766, "🧀", "cheese wedge"
767, "🍖", "meat on bone"
768, "🍗", "poultry leg"
769, "🥩", "cut of meat"
770, "🥓", "bacon"
771, "🍔", "hamburger"
772, "🍟", "french fries"
773, "🍕", "pizza"
774, "🌭", "hot dog"
775, "🥪", "sandwich"
776, "🌮", "taco"
777, "🌯", "burrito"
778, "🫔", "tamale"
